"YEAR","January","February","March","April","May","June","July","August","September","October","November","December","MEAN"
1960,7.34549198408105,6.35059555512892,6.17540282082014,7.16052412240423,9.88422203043683,13.3821594534951,14.6203157432698,15.8282019225753,14.8005503650941,12.6501419384254,10.3222344495967,8.66623433058506,10.5988395596594
1961,7.170037189029,6.89209469653616,7.31954351348484,8.09739858312131,10.2728388543639,12.9013893125691,14.0779887443925,14.6142293625098,14.6420132795449,13.7129775139598,10.8152748326628,8.60705184102467,10.7602364769332
1962,7.11494502574794,6.32165844295001,5.56567747691945,6.63262168535374,8.55089202574604,11.3356646452076,13.3121312400971,13.9064970247556,13.4102112636902,12.4308462337662,10.1327500710584,8.17618390286384,9.74083991984635
1963,5.6540528601669,4.63744010089258,4.74801873881918,6.02500448887242,8.32392517646355,12.6726817778999,14.1839273041579,15.0610003077354,13.933249222844,11.8109274425448,10.4373885190908,8.3194964449706,9.65059269870483
1964,6.99131407190604,6.08956568288767,5.67135777156596,6.74154103730566,9.71964502676556,12.418326787757,13.8477764820489,14.4422487011312,13.7202668272164,12.2093636452576,10.3105861479386,8.6787108703659,10.0700585876789
1965,7.18369833947343,6.044010829273,5.75079074448013,6.79309611527394,8.88464124473489,11.9872028945782,13.5368454886037,14.5366273050692,13.7020599288683,12.8446573886779,10.0093972663373,7.55967444535515,9.90272516589377
1966,6.08187507577627,5.2857669705372,5.64218181745424,6.34821917369387,9.11299729494736,13.1931749215599,14.6709077024415,14.6144697538518,13.9563086319829,12.6042047314571,9.97582734538089,8.05014444760041,9.96133982222363
1967,6.67567495632201,6.3087911819157,6.60367003512531,7.31699637898988,9.08669203504501,11.9871984944931,14.4488504609325,15.5711515177325,14.6587599765328,12.6738016298116,10.3887202587851,8.45343460788892,10.3478117944645
1968,6.61179025240611,5.8874317804199,5.87779448242501,7.14218106642834,8.94913815423436,12.9346523176413,14.5773822603289,15.8969465559767,15.1602727070361,12.7807726715633,10.3055240956733,8.49791215752888,10.3851498751385
1969,6.87296639555139,5.8356112571346,5.25895493845281,6.22414311761539,8.66248403799772,12.8177320299,14.5986704284579,16.4526645465489,14.6857468200017,12.678489901136,10.2919956817448,7.9872738664792,10.1972277517517
1970,6.20138839970391,5.29227471651414,5.07739914120881,6.02352794050348,8.77218091422264,13.1512681739756,13.9112692151909,14.9185731882794,14.0765894996965,12.3220127043884,10.028577470247,8.6111702580682,9.86551930183324
1971,6.93177478530939,6.48727809195998,6.05055494098705,6.99973107464186,9.38841622576313,12.0233870875693,14.4961216437863,15.3346636534053,14.2980165715057,12.7603611849081,10.3204140941818,8.62827605784773,10.3099162843221
1972,7.11947737545621,6.14621187229526,6.26256263305259,7.37156418404294,9.1797005753034,11.9512222222074,14.9113978792574,15.206904751435,13.8397993258051,11.9751147804911,10.1177464433075,8.88507191580796,10.2472311632052
1973,7.71079877859162,7.05645644528092,6.970532332642,7.5311093249685,9.30523557718747,12.5743455709164,15.4055489021589,15.4484470227162,14.5753605296323,12.0821342956538,9.88355183246574,7.70431311941749,10.5206528109693
1974,7.29943893136657,6.98864148554193,6.92231751720884,8.14884439913712,9.90804754000236,12.6626232191974,14.5503712327147,15.1971150997587,14.5692144861523,11.750582990647,9.75452408887391,8.51292010079692,10.5220534242831
1975,7.81593886581382,7.04581675199512,6.72966148474929,7.14806305030287,9.18101819494403,11.9326044432012,14.7522204200265,16.6730256094387,15.0132511294199,12.4305301094612,10.6235661114633,8.63243330107853,10.6648441226579
1976,7.07040385311964,6.04536042541162,5.96941142443724,6.72882866133337,9.18409192169393,12.3052531825353,15.8287489170542,16.1517834855042,14.2315451018059,12.5500745978708,10.3790583396442,8.28090168870398,10.3937884665929
1977,6.63360324644179,6.08232589858938,6.40417772772298,6.89050067172725,9.04694387979736,11.849253950253,14.1237297576362,15.0342358617173,13.6853755393887,12.337684316291,10.634697710392,8.38581612526424,10.0923620571018
1978,6.91796132504536,5.74655945145586,5.84165334098978,6.73127640092032,8.89589956830263,12.2235562099704,13.3849330815019,14.9688316840513,13.4639032596059,11.893203755137,10.6028699857799,8.24898930820845,9.90996978091405
1979,5.88053289273144,4.89765710763239,5.03676609674009,6.07856228761966,7.90834950858546,11.9291607585072,13.3671684918595,14.4013513559497,13.6423170231614,12.2233691572523,9.82235013406304,8.4908366832824,9.47320179144872
1980,6.6030411819193,5.8995799320166,5.9192637144468,6.90132536049453,9.23665223038501,12.6947055166913,14.1690868166581,15.5587780319916,14.6884932853403,12.2378349793412,9.37603914548296,7.72583328527733,10.0842194566704
1981,6.19531274223643,5.71859780605832,5.68923833116605,6.95387881769348,9.18417819191265,11.7894439350606,13.9060707557773,14.7221709741208,14.2289994533755,11.796128577574,9.57100739531097,7.23317005723105,9.7490164197931
1982,5.61804076475332,5.50909784536337,5.92417047739761,7.11741739456276,8.98146415836797,12.9657939787564,15.2152740380801,15.9514963488554,14.0493935117583,12.6991763388356,10.6676847046651,8.75833129465793,10.2881117380045
1983,7.39070264103173,6.07557223814369,6.03474769416943,6.7724235035541,8.9456848370316,12.0164116779418,14.7493013394574,15.2868757230854,13.9900160342147,11.9281492512396,9.77835584478449,7.85079668906431,10.0682531228099
