"YEAR","January","February","March","April","May","June","July","August","September","October","November","December","MEAN"
1960,7.21103339207228,6.21045604895099,6.03942685497528,7.03680805848113,9.77929779893679,13.3167581145088,14.5797970562496,15.7863510643544,14.719585638257,12.5384695227593,10.1997371027225,8.5541862994272,10.4976589126413
1961,7.05521322639783,6.7776409318584,7.20279000032504,7.96179297436777,10.1689106862174,12.8467302438406,14.0133792956874,14.5455215219071,14.5283206189906,13.6132280886104,10.7016269853041,8.46029476907907,10.6562874452155
1962,6.97462928409952,6.18880769563432,5.41785761685851,6.51270181217315,8.44817183110734,11.2485163245538,13.226495851572,13.8023836872463,13.2768096892021,12.2703534253419,9.99000457595475,8.032788994342,9.61579339900714
1963,5.50364009866248,4.49400810687432,4.59640497650388,5.88342583800951,8.236538324309,12.6423108614585,14.1316091541241,15.0145819120324,13.8585760331188,11.6722643256124,10.2818579011267,8.16767726540725,9.54024123310328
1964,6.85060658087876,5.95723252102452,5.53169640255277,6.6214164671907,9.61968098493354,12.3342669351499,13.753395497026,14.336785352294,13.5542425794504,12.0532195594571,10.1568354233822,8.54154265693442,9.94257674668953
1965,7.06267707903738,5.9197522663178,5.61761197484799,6.66504177383657,8.76334230376253,11.8982313464991,13.4417056791713,14.4385138117537,13.6086277499072,12.7141675738595,9.85793270699895,7.40497738311338,9.78271513742545
1966,5.92085153107826,5.10830292094903,5.47224074095983,6.17948830622103,8.99834878250959,13.1394556904486,14.6416718937985,14.5274606929325,13.8100799678623,12.4434472060461,9.83166532364427,7.90457511566932,9.83146568100995
1967,6.53023244252241,6.16525872894854,6.4783462515619,7.18880145496646,8.99038172414541,11.9160752716127,14.3644548201131,15.4731889439314,14.5735307162142,12.5388273893839,10.2588610547458,8.3186657348516,10.2330520444164
1968,6.46762323509972,5.74141317491203,5.73943861128379,7.01468938009386,8.84381512703947,12.8784341573294,14.5107358831803,15.8061013604088,15.0719905889013,12.6164551186819,10.1219416080761,8.33323568508226,10.2621561608407
1969,6.72324699017131,5.68076615364187,5.09958979365138,6.08706801112169,8.5483642791821,12.7681899006055,14.5652194845252,16.421832482352,14.5996425347232,12.50976667571,10.1122727780187,7.82110797642701,10.0780889216775
1970,6.03228977008863,5.13006997978843,4.92382761649586,5.87982126585739,8.66248372294418,13.0787703366005,13.8443847247451,14.8317978782219,13.9513391665551,12.170165814294,9.86150607011677,8.45826224624356,9.73539321599595
